aX,aY,aZ,gX,gY,gZ
Accelerometer sample rate = 119.00 Hz
Gyroscope sample rate = 119.00 Hz
Estacionario: 0.258001
Vueltas: 0.407079
Arriba-Abajo: 0.334920
Estacionario: 0.258461
Vueltas: 0.405647
Arriba-Abajo: 0.335892
Estacionario: 0.260021
Vueltas: 0.403321
Arriba-Abajo: 0.336659
Estacionario: 0.267434
Vueltas: 0.381068
Arriba-Abajo: 0.351498
Estacionario: 0.257989
Vueltas: 0.406749
Arriba-Abajo: 0.335263
Estacionario: 0.274860
Vueltas: 0.379800
Arriba-Abajo: 0.345340
Estacionario: 0.257345
Vueltas: 0.401570
Arriba-Abajo: 0.341085
Estacionario: 0.277956
Vueltas: 0.390256
Arriba-Abajo: 0.331787
Estacionario: 0.263514
Vueltas: 0.390932
Arriba-Abajo: 0.345555
Estacionario: 0.258001
Vueltas: 0.407079
Arriba-Abajo: 0.334920
Estacionario: 0.258001
Vueltas: 0.407079
Arriba-Abajo: 0.334920
